,Amber Malt Extract,American (or North American) Pilsner,American (or North American) Vienna,Belgian Pale,Belgian Pilsner,Dark Malt Extract,English Pale Ale,Extra Light/Pils Malt Extract,Floor Malted Pilsner,German Pale Ale,German Pilsner,German Vienna,Golden Malt Extract,Golden Promise,Light Malt Extract,Maris Otter,Munich Malt Extract,"Munich, Dark","Munich, Light",Pale Malt (2 Row),Pale Malt (6 Row),Pale Malt Extract,Red X,Wheat Malt Extract,White Wheat,Aromatic,"Barley, Flaked","Barley, Raw","Barley, Roasted","Barley, Torrefied",Biscuit Malt,Black Malt,Blackprinze Malt,Brown Malt,Buckwheat,Carafa I,Carafa II,Carafa III,Carafoam,Caramel/Crystal Malt - 10L,Caramel/Crystal Malt - 20L,Caramel/Crystal Malt - 30L,Caramel/Crystal Malt - 40L,Caramel/Crystal Malt - 60L,Caramel/Crystal Malt - 80L,Caramel/Crystal Malt -120L,Caramunich I,Caramunich II,Carapils/Dextrine/Carafoam,Carared,Caravienne,Carahell,Chit Malt,Chocolate Malt,Coffee Malt,Cookie Malt (Viking Malt),"Corn, Flaked","Corn, Grits","Extract, Extra Dark","Extract, Rye","Extract, Sorghum",Honey Malt,Melanoiden Malt,Millet,"Oats, Flaked","Oats, Golden Naked","Oats, Malted",Pale Chocolate Malt,Peat Smoked Malt,Quinoa,"Rice, Flaked",Rye Malt,"Rye, Flaked",Smoked Malt,Special B,Special Roast,Spelt Malt,Toasted Malt,Victory,"Wheat, Flaked","Wheat, Red","Wheat, Roasted","Wheat, Torrified"
Carafa II,0.123,0.000,0.000,0.000,0.000,0.533,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.922,0.000,0.227,0.860,0.977,0.592,0.000,1.000,1.000,0.983,0.000,0.157,0.223,0.283,0.253,0.292,0.348,0.487,0.229,0.251,0.000,0.215,0.193,0.098,0.000,0.958,0.782,0.142,0.000,0.000,0.569,0.136,0.000,0.187,0.119,0.000,0.000,0.000,0.000,0.952,0.000,0.000,0.000,0.000,0.000,0.000,0.476,0.381,0.000,0.199,0.204,0.000,0.000,0.910,0.000
Carafa III,0.120,0.000,0.000,0.000,0.000,0.521,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.973,0.000,0.225,0.937,0.994,0.581,0.000,0.983,0.983,1.000,0.000,0.154,0.221,0.281,0.251,0.290,0.346,0.481,0.227,0.249,0.000,0.212,0.191,0.095,0.000,0.976,0.768,0.139,0.000,0.000,0.558,0.136,0.000,0.185,0.117,0.000,0.000,0.000,0.000,0.934,0.000,0.000,0.000,0.000,0.000,0.000,0.470,0.379,0.000,0.196,0.202,0.000,0.000,0.929,0.000
Carafoam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.004,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.495,0.304,0.000,0.674,0.482,0.000,0.639,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,1.000,0.276,0.215,0.211,0.146,0.134,0.086,0.075,0.147,0.136,0.984,0.212,0.185,0.212,0.889,0.000,0.000,0.000,0.000,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.607,0.211,0.576,0.000,0.000,0.000,0.000,0.141,0.548,0.000,0.059,0.000,0.067,0.000,0.000,0.548,0.304,0.000,0.511
Caramel/Crystal Malt - 10L,0.483,0.000,0.000,0.000,0.000,0.516,0.000,0.043,0.000,0.000,0.000,0.000,0.398,0.045,0.325,0.000,0.148,0.000,0.000,0.000,0.000,0.325,0.100,0.144,0.000,0.116,0.000,0.000,0.123,0.000,0.149,0.104,0.159,0.018,0.000,0.152,0.157,0.154,0.276,1.000,0.966,0.959,0.896,0.871,0.730,0.654,0.866,0.845,0.290,0.926,0.898,0.921,0.000,0.136,0.081,0.351,0.000,0.000,0.495,0.285,0.405,0.630,0.218,0.000,0.133,0.619,0.137,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.617,0.041,0.000,0.128,0.121,0.000,0.000,0.126,0.000
Caramel/Crystal Malt - 20L,0.567,0.000,0.000,0.000,0.000,0.606,0.000,0.018,0.000,0.000,0.000,0.000,0.351,0.004,0.276,0.000,0.123,0.000,0.000,0.000,0.000,0.276,0.192,0.113,0.000,0.104,0.000,0.000,0.184,0.000,0.163,0.165,0.223,0.067,0.000,0.217,0.223,0.221,0.215,0.966,1.000,0.997,0.981,0.956,0.841,0.723,0.950,0.929,0.228,0.960,0.932,0.947,0.000,0.199,0.135,0.383,0.000,0.000,0.586,0.278,0.337,0.689,0.209,0.000,0.083,0.674,0.093,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.687,0.090,0.000,0.141,0.135,0.000,0.000,0.193,0.000
Caramel/Crystal Malt - 30L,0.573,0.000,0.000,0.000,0.000,0.623,0.000,0.025,0.000,0.000,0.000,0.000,0.358,0.003,0.280,0.000,0.134,0.000,0.000,0.000,0.000,0.280,0.204,0.120,0.000,0.121,0.000,0.000,0.240,0.000,0.195,0.220,0.283,0.113,0.000,0.276,0.283,0.281,0.211,0.959,0.997,1.000,0.982,0.962,0.856,0.746,0.950,0.932,0.223,0.958,0.930,0.936,0.000,0.257,0.187,0.399,0.000,0.000,0.610,0.303,0.332,0.697,0.230,0.000,0.079,0.671,0.092,0.239,0.000,0.000,0.000,0.000,0.000,0.000,0.710,0.137,0.000,0.172,0.166,0.000,0.000,0.252,0.000
Caramel/Crystal Malt - 40L,0.597,0.000,0.000,0.000,0.000,0.641,0.000,0.000,0.000,0.000,0.000,0.000,0.290,0.000,0.215,0.000,0.085,0.000,0.000,0.000,0.000,0.215,0.240,0.070,0.000,0.077,0.000,0.000,0.210,0.000,0.154,0.191,0.252,0.087,0.000,0.246,0.253,0.251,0.146,0.896,0.981,0.982,1.000,0.977,0.885,0.740,0.969,0.950,0.157,0.943,0.915,0.923,0.000,0.228,0.158,0.381,0.000,0.000,0.623,0.249,0.259,0.698,0.180,0.000,0.025,0.679,0.039,0.209,0.000,0.000,0.000,0.000,0.000,0.000,0.704,0.110,0.000,0.132,0.127,0.000,0.000,0.224,0.000
Caramel/Crystal Malt - 60L,0.584,0.000,0.000,0.000,0.000,0.685,0.000,0.000,0.000,0.000,0.000,0.000,0.285,0.000,0.209,0.000,0.085,0.000,0.000,0.000,0.000,0.209,0.236,0.068,0.000,0.083,0.000,0.000,0.246,0.000,0.170,0.227,0.290,0.116,0.000,0.284,0.292,0.290,0.134,0.871,0.956,0.962,0.977,1.000,0.957,0.857,0.946,0.971,0.144,0.919,0.892,0.891,0.000,0.266,0.191,0.381,0.000,0.000,0.710,0.260,0.245,0.686,0.188,0.000,0.015,0.658,0.032,0.246,0.000,0.000,0.000,0.000,0.000,0.000,0.819,0.140,0.000,0.148,0.144,0.000,0.000,0.262,0.000
Caramel/Crystal Malt - 80L,0.512,0.000,0.000,0.000,0.000,0.676,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.000,0.111,0.000,0.023,0.000,0.000,0.000,0.000,0.111,0.219,0.034,0.000,0.036,0.000,0.000,0.299,0.000,0.160,0.279,0.346,0.161,0.000,0.340,0.348,0.346,0.086,0.730,0.841,0.856,0.885,0.957,1.000,0.941,0.852,0.925,0.096,0.806,0.780,0.763,0.000,0.320,0.240,0.323,0.000,0.000,0.752,0.219,0.085,0.585,0.138,0.000,0.000,0.585,0.000,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.901,0.186,0.000,0.139,0.136,0.000,0.000,0.318,0.000
Caramel/Crystal Malt -120L,0.402,0.000,0.000,0.000,0.000,0.711,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.108,0.000,0.024,0.000,0.000,0.000,0.000,0.108,0.134,0.032,0.000,0.041,0.000,0.000,0.435,0.000,0.174,0.404,0.483,0.265,0.000,0.482,0.487,0.481,0.075,0.654,0.723,0.746,0.740,0.857,0.941,1.000,0.707,0.822,0.085,0.691,0.668,0.636,0.000,0.458,0.380,0.279,0.000,0.000,0.825,0.227,0.078,0.488,0.145,0.000,0.000,0.470,0.000,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.208,0.000,0.152,0.149,0.000,0.000,0.454,0.000
Caramunich I,0.624,0.000,0.000,0.000,0.000,0.661,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.000,0.192,0.000,0.200,0.020,0.000,0.000,0.000,0.192,0.321,0.048,0.000,0.179,0.000,0.000,0.176,0.000,0.183,0.158,0.216,0.109,0.000,0.223,0.229,0.227,0.147,0.866,0.950,0.950,0.969,0.946,0.852,0.707,1.000,0.978,0.136,0.981,0.945,0.968,0.000,0.199,0.168,0.402,0.000,0.000,0.637,0.216,0.236,0.765,0.298,0.000,0.006,0.662,0.019,0.181,0.000,0.000,0.000,0.000,0.000,0.000,0.719,0.136,0.000,0.152,0.155,0.000,0.000,0.188,0.000
Caramunich II,0.610,0.000,0.000,0.000,0.000,0.700,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.000,0.185,0.000,0.194,0.019,0.000,0.000,0.000,0.185,0.312,0.045,0.000,0.176,0.000,0.000,0.196,0.000,0.190,0.178,0.238,0.124,0.000,0.244,0.251,0.249,0.136,0.845,0.929,0.932,0.950,0.971,0.925,0.822,0.978,1.000,0.126,0.959,0.923,0.941,0.000,0.220,0.185,0.397,0.000,0.000,0.719,0.220,0.225,0.750,0.296,0.000,0.000,0.644,0.012,0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.828,0.151,0.000,0.158,0.161,0.000,0.000,0.210,0.000
Carapils/Dextrine/Carafoam,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.020,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.509,0.304,0.000,0.689,0.497,0.000,0.654,0.000,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.984,0.290,0.228,0.223,0.157,0.144,0.096,0.085,0.136,0.126,1.000,0.200,0.185,0.199,0.905,0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.003,0.000,0.000,0.000,0.623,0.211,0.591,0.000,0.000,0.000,0.000,0.155,0.565,0.000,0.059,0.000,0.080,0.000,0.000,0.565,0.304,0.000,0.527
Carared,0.597,0.000,0.000,0.000,0.000,0.632,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.048,0.248,0.000,0.257,0.056,0.020,0.000,0.000,0.248,0.287,0.089,0.000,0.225,0.000,0.000,0.162,0.000,0.206,0.144,0.201,0.106,0.000,0.209,0.215,0.212,0.212,0.926,0.960,0.958,0.943,0.919,0.806,0.691,0.981,0.959,0.200,1.000,0.962,0.991,0.000,0.184,0.162,0.411,0.000,0.000,0.607,0.247,0.308,0.765,0.349,0.000,0.057,0.650,0.068,0.168,0.000,0.000,0.000,0.000,0.000,0.000,0.708,0.134,0.000,0.173,0.175,0.000,0.000,0.171,0.000
Caravienne,0.636,0.000,0.088,0.000,0.000,0.609,0.000,0.000,0.000,0.000,0.000,0.088,0.379,0.090,0.233,0.000,0.343,0.131,0.097,0.000,0.000,0.233,0.363,0.076,0.000,0.304,0.000,0.000,0.148,0.000,0.368,0.130,0.186,0.246,0.000,0.187,0.193,0.191,0.185,0.898,0.932,0.930,0.915,0.892,0.780,0.668,0.945,0.923,0.185,0.962,1.000,0.953,0.000,0.170,0.243,0.553,0.000,0.000,0.586,0.231,0.291,0.794,0.421,0.000,0.045,0.687,0.056,0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.691,0.288,0.000,0.318,0.320,0.000,0.000,0.157,0.000
Carahell,0.576,0.000,0.000,0.000,0.000,0.591,0.000,0.000,0.000,0.000,0.000,0.000,0.298,0.047,0.231,0.000,0.238,0.031,0.002,0.000,0.000,0.231,0.264,0.067,0.000,0.195,0.000,0.000,0.052,0.000,0.144,0.035,0.084,0.019,0.000,0.094,0.098,0.095,0.212,0.921,0.947,0.936,0.923,0.891,0.763,0.636,0.968,0.941,0.199,0.991,0.953,1.000,0.000,0.071,0.064,0.374,0.000,0.000,0.555,0.191,0.305,0.744,0.312,0.000,0.056,0.641,0.060,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.655,0.045,0.000,0.113,0.115,0.000,0.000,0.055,0.000
Chit Malt,0.000,0.032,0.000,0.000,0.030,0.000,0.000,0.214,0.000,0.000,0.032,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.046,0.016,0.000,0.433,0.246,0.000,0.795,0.704,0.000,0.757,0.000,0.000,0.000,0.000,0.193,0.000,0.000,0.000,0.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.905,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.077,0.077,0.000,0.166,0.000,0.000,0.000,0.072,0.549,0.000,0.516,0.000,0.000,0.000,0.102,0.182,0.589,0.000,0.000,0.000,0.109,0.000,0.000,0.589,0.246,0.000,0.551
Chocolate Malt,0.150,0.000,0.000,0.000,0.000,0.508,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.000,0.022,0.000,0.000,0.959,0.000,0.247,0.922,0.976,0.611,0.000,0.958,0.958,0.976,0.000,0.136,0.199,0.257,0.228,0.266,0.320,0.458,0.199,0.220,0.000,0.184,0.170,0.071,0.000,1.000,0.788,0.162,0.000,0.000,0.541,0.113,0.000,0.164,0.093,0.000,0.000,0.078,0.000,0.961,0.000,0.000,0.000,0.000,0.000,0.000,0.482,0.396,0.000,0.259,0.264,0.000,0.000,0.909,0.000
Coffee Malt,0.250,0.000,0.088,0.000,0.000,0.497,0.001,0.000,0.000,0.000,0.000,0.088,0.102,0.000,0.000,0.017,0.227,0.159,0.109,0.000,0.000,0.000,0.214,0.000,0.000,0.305,0.000,0.000,0.725,0.000,0.605,0.671,0.773,0.922,0.000,0.782,0.782,0.768,0.000,0.081,0.135,0.187,0.158,0.191,0.240,0.380,0.168,0.185,0.000,0.162,0.243,0.064,0.000,0.788,1.000,0.516,0.000,0.000,0.517,0.052,0.000,0.378,0.400,0.000,0.000,0.114,0.000,0.863,0.000,0.000,0.000,0.000,0.000,0.000,0.436,0.737,0.000,0.605,0.601,0.000,0.000,0.706,0.000
Cookie Malt (Viking Malt),0.737,0.000,0.459,0.365,0.000,0.435,0.464,0.027,0.000,0.231,0.000,0.459,0.604,0.401,0.323,0.465,0.717,0.523,0.499,0.007,0.000,0.323,0.582,0.042,0.000,0.699,0.000,0.000,0.106,0.000,0.940,0.089,0.142,0.728,0.000,0.136,0.142,0.139,0.000,0.351,0.383,0.399,0.381,0.381,0.323,0.279,0.402,0.397,0.000,0.411,0.553,0.374,0.000,0.162,0.516,1.000,0.000,0.000,0.327,0.191,0.047,0.774,0.819,0.000,0.000,0.367,0.000,0.283,0.000,0.000,0.000,0.000,0.000,0.030,0.341,0.818,0.000,0.924,0.916,0.000,0.000,0.073,0.000
"Corn, Flaked",0.000,0.303,0.000,0.000,0.302,0.000,0.000,0.547,0.237,0.053,0.303,0.000,0.047,0.000,0.308,0.000,0.000,0.000,0.000,0.076,0.235,0.308,0.000,0.000,0.000,0.000,0.304,0.380,0.000,0.280,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,1.000,0.747,0.000,0.075,0.383,0.000,0.000,0.549,0.146,0.000,0.127,0.000,0.000,0.203,0.775,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.065,0.000,0.000,0.044
"Corn, Grits",0.000,0.303,0.000,0.000,0.302,0.000,0.000,0.547,0.237,0.053,0.303,0.000,0.047,0.000,0.308,0.000,0.000,0.000,0.000,0.076,0.235,0.308,0.000,0.000,0.000,0.000,0.077,0.608,0.000,0.058,0.000,0.000,0.000,0.000,0.147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.747,1.000,0.000,0.075,0.383,0.000,0.000,0.549,0.000,0.000,0.000,0.000,0.000,0.203,0.513,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Extract, Extra Dark",0.593,0.000,0.000,0.000,0.000,0.948,0.000,0.088,0.000,0.000,0.000,0.000,0.338,0.000,0.258,0.000,0.260,0.012,0.000,0.000,0.000,0.258,0.226,0.000,0.000,0.150,0.000,0.000,0.520,0.000,0.202,0.477,0.563,0.372,0.000,0.567,0.569,0.558,0.000,0.495,0.586,0.610,0.623,0.710,0.752,0.825,0.637,0.719,0.000,0.607,0.586,0.555,0.000,0.541,0.517,0.327,0.000,0.000,1.000,0.315,0.233,0.597,0.263,0.000,0.000,0.275,0.000,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.828,0.220,0.000,0.179,0.175,0.000,0.000,0.493,0.000
"Extract, Rye",0.440,0.048,0.000,0.065,0.043,0.398,0.026,0.534,0.090,0.079,0.048,0.000,0.627,0.096,0.654,0.000,0.310,0.000,0.000,0.081,0.000,0.654,0.000,0.666,0.208,0.103,0.166,0.166,0.103,0.145,0.158,0.090,0.142,0.056,0.023,0.129,0.136,0.136,0.224,0.285,0.278,0.303,0.249,0.260,0.219,0.227,0.216,0.220,0.243,0.247,0.231,0.191,0.166,0.113,0.052,0.191,0.075,0.075,0.315,1.000,0.486,0.220,0.207,0.123,0.214,0.160,0.334,0.093,0.000,0.000,0.000,0.255,0.326,0.000,0.204,0.080,0.108,0.141,0.130,0.147,0.208,0.202,0.123
"Extract, Sorghum",0.262,0.164,0.000,0.000,0.161,0.264,0.000,0.592,0.109,0.029,0.164,0.000,0.545,0.032,0.654,0.000,0.098,0.000,0.000,0.043,0.000,0.654,0.000,0.156,0.000,0.000,0.000,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.405,0.337,0.332,0.259,0.245,0.085,0.078,0.236,0.225,0.003,0.308,0.291,0.305,0.000,0.000,0.000,0.047,0.383,0.383,0.233,0.486,1.000,0.259,0.000,0.377,0.000,0.050,0.000,0.000,0.000,0.000,0.113,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Honey Malt,0.760,0.000,0.263,0.165,0.000,0.674,0.172,0.041,0.000,0.130,0.000,0.263,0.486,0.258,0.340,0.138,0.592,0.363,0.334,0.000,0.000,0.340,0.507,0.000,0.000,0.597,0.000,0.000,0.149,0.000,0.601,0.131,0.187,0.429,0.000,0.181,0.187,0.185,0.000,0.630,0.689,0.697,0.698,0.686,0.585,0.488,0.765,0.750,0.000,0.765,0.794,0.744,0.000,0.164,0.378,0.774,0.000,0.000,0.597,0.220,0.259,1.000,0.752,0.000,0.000,0.389,0.000,0.192,0.000,0.000,0.000,0.000,0.000,0.042,0.543,0.488,0.000,0.555,0.548,0.000,0.000,0.118,0.000
Melanoiden Malt,0.624,0.000,0.510,0.428,0.000,0.405,0.464,0.034,0.131,0.324,0.000,0.518,0.562,0.452,0.362,0.417,0.860,0.677,0.656,0.066,0.000,0.362,0.537,0.099,0.000,0.817,0.000,0.000,0.072,0.000,0.820,0.057,0.107,0.591,0.000,0.114,0.119,0.117,0.000,0.218,0.209,0.230,0.180,0.188,0.138,0.145,0.298,0.296,0.000,0.349,0.421,0.312,0.000,0.093,0.400,0.819,0.000,0.000,0.263,0.207,0.000,0.752,1.000,0.000,0.000,0.044,0.000,0.158,0.000,0.000,0.000,0.000,0.000,0.178,0.247,0.669,0.000,0.753,0.753,0.000,0.000,0.044,0.000
Millet,0.000,0.284,0.000,0.000,0.283,0.000,0.000,0.531,0.220,0.054,0.284,0.000,0.075,0.000,0.314,0.000,0.000,0.000,0.000,0.072,0.222,0.314,0.000,0.000,0.000,0.000,0.072,0.359,0.000,0.054,0.000,0.000,0.000,0.000,0.591,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.000,0.000,0.549,0.549,0.000,0.123,0.377,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.680,0.481,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Oats, Flaked",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.497,0.299,0.000,0.767,0.355,0.000,0.729,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.607,0.133,0.083,0.079,0.025,0.015,0.000,0.000,0.006,0.000,0.623,0.057,0.045,0.056,0.549,0.000,0.000,0.000,0.146,0.000,0.000,0.214,0.000,0.000,0.000,0.000,1.000,0.304,0.951,0.000,0.000,0.000,0.062,0.141,0.795,0.000,0.000,0.000,0.071,0.000,0.000,0.795,0.299,0.000,0.750
"Oats, Golden Naked",0.438,0.000,0.000,0.000,0.000,0.285,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.199,0.178,0.017,0.052,0.000,0.000,0.000,0.049,0.206,0.000,0.000,0.139,0.157,0.000,0.000,0.000,0.211,0.619,0.674,0.671,0.679,0.658,0.585,0.470,0.662,0.644,0.211,0.650,0.687,0.641,0.000,0.078,0.114,0.367,0.000,0.000,0.275,0.160,0.050,0.389,0.044,0.000,0.304,1.000,0.297,0.117,0.000,0.000,0.000,0.000,0.075,0.000,0.538,0.168,0.000,0.281,0.282,0.075,0.017,0.075,0.132
"Oats, Malted",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.000,0.055,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.645,0.421,0.000,0.726,0.331,0.000,0.689,0.000,0.000,0.000,0.000,0.025,0.000,0.000,0.000,0.576,0.137,0.093,0.092,0.039,0.032,0.000,0.000,0.019,0.012,0.591,0.068,0.056,0.060,0.516,0.000,0.000,0.000,0.127,0.000,0.000,0.334,0.000,0.000,0.000,0.000,0.951,0.297,1.000,0.000,0.000,0.000,0.047,0.218,0.757,0.000,0.000,0.000,0.218,0.000,0.000,0.757,0.421,0.000,0.713
Pale Chocolate Malt,0.190,0.000,0.000,0.000,0.000,0.504,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.089,0.000,0.000,0.084,0.000,0.000,0.883,0.000,0.372,0.820,0.935,0.733,0.000,0.953,0.952,0.934,0.000,0.121,0.182,0.239,0.209,0.246,0.299,0.441,0.181,0.201,0.000,0.168,0.201,0.058,0.000,0.961,0.863,0.283,0.000,0.000,0.534,0.093,0.000,0.192,0.158,0.000,0.000,0.117,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.467,0.516,0.000,0.379,0.383,0.000,0.000,0.865,0.000
Peat Smoked Malt,0.000,0.395,0.279,0.352,0.394,0.000,0.313,0.000,0.383,0.402,0.395,0.279,0.000,0.309,0.000,0.273,0.000,0.188,0.181,0.439,0.417,0.000,0.202,0.000,0.187,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.282,0.000,0.878,0.000,0.000,0.264,0.000,0.000,0.000,0.187,0.000,0.000
Quinoa,0.000,0.024,0.000,0.000,0.021,0.000,0.000,0.213,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.203,0.000,0.000,0.000,0.000,0.000,0.680,0.000,0.000,0.000,0.000,0.000,1.000,0.233,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Rice, Flaked",0.000,0.248,0.000,0.000,0.247,0.000,0.000,0.481,0.186,0.000,0.248,0.000,0.000,0.000,0.135,0.000,0.000,0.000,0.000,0.009,0.266,0.135,0.000,0.000,0.000,0.000,0.338,0.417,0.000,0.312,0.000,0.000,0.000,0.000,0.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.000,0.000,0.000,0.775,0.513,0.000,0.000,0.113,0.000,0.000,0.481,0.062,0.000,0.047,0.000,0.000,0.233,1.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.067
Rye Malt,0.000,0.410,0.441,0.374,0.408,0.000,0.324,0.000,0.402,0.422,0.410,0.441,0.000,0.318,0.000,0.283,0.000,0.340,0.329,0.455,0.433,0.000,0.362,0.259,0.674,0.209,0.182,0.098,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.000,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.255,0.000,0.000,0.000,0.000,0.141,0.000,0.218,0.000,0.282,0.000,0.000,1.000,0.311,0.226,0.000,0.000,0.668,0.000,0.000,0.180,0.674,0.000,0.155
"Rye, Flaked",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.455,0.258,0.000,0.812,0.391,0.000,0.773,0.000,0.000,0.000,0.000,0.066,0.000,0.000,0.000,0.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.565,0.000,0.000,0.000,0.589,0.000,0.000,0.000,0.065,0.000,0.000,0.326,0.000,0.000,0.000,0.000,0.795,0.075,0.757,0.000,0.000,0.000,0.090,0.311,1.000,0.000,0.000,0.000,0.103,0.000,0.000,0.845,0.258,0.000,0.799
Smoked Malt,0.084,0.268,0.438,0.509,0.266,0.000,0.454,0.000,0.370,0.461,0.277,0.446,0.092,0.504,0.048,0.407,0.151,0.468,0.466,0.430,0.227,0.048,0.407,0.000,0.244,0.468,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.042,0.178,0.000,0.000,0.000,0.000,0.000,0.878,0.000,0.000,0.226,0.000,1.000,0.000,0.000,0.267,0.000,0.000,0.000,0.244,0.000,0.000
